surname,name,birthday,university
Alexander,Adele,05/06/1988,Ateneo De Manila University
Avila,Raven,1/13/2008,De La Salle University
Barrera,Madisyn,11/11/1996,University of the Philippines
Blair,Rihanna,7/25/2004,Systems Technology Institute
Bryan,Whitney,02/05/1988,De La Salle University
Callahan,Alia,6/23/1995,University of the Philippines
Carson,Lina,11/12/2009,Systems Technology Institute
Castro,Sergio,1/28/1989,Ateneo De Manila University
Chan,Angel,04/03/2002,University of the Philippines
Daniel,Leighton,01/07/1993,Lyceum of the Philippines University
Dejesus,Kenzie,07/09/1985,Systems Technology Institute
Dennis,Ruben,04/12/1998,Ateneo De Manila University
Farmer,Miles,04/08/2010,Mapua Insititute of Technology Manila
Fuentes,Michael,09/09/2006,Lyceum of the Philippines University
Gentry,Ryan,05/04/1993,Mapua Insititute of Technology Manila
Gilmore,Major,05/06/1995,University of the Philippines
Griffith,Yehuda,8/14/1999,University of the Philippines
Gutierrez,Aubri,2/19/1989,University of Santo Tomas
Hodge,Jose,11/17/2004,Ateneo De Manila University
Hodge,Olivia,6/26/1994,Lyceum of the Philippines University
Hoffman,Audrey,11/08/1997,Mapua Insititute of Technology Manila
Hughes,Breanna,03/09/2007,De La Salle University
Joyrce,Emilie,10/05/1992,De La Salle University
Leach,Ryder,2/25/1992,Ateneo De Manila University
Lloyd,Hank,06/02/1988,Lyceum of the Philippines University
Mack,Valentina,5/21/1996,University of Santo Tomas
Marquez,Cannon,07/12/2000,Ateneo De Manila University
Mccoy,Amiya,09/07/1999,University of the Philippines
Mclean,Ezra,01/06/1986,De La Salle University
Mcneil,Tatiana,08/03/1994,University of Santo Tomas
Nash,Celeste,12/12/2000,Lyceum of the Philippines University
Navarro,Natalee,11/30/2005,De La Salle University
Nicholson,Charlee,11/11/2004,Lyceum of the Philippines University
Ortega,Brycen,8/30/2010,Ateneo De Manila University
Osborne,Arabella,9/27/1993,De La Salle University
Patterson,Tiana,2/17/2007,Lyceum of the Philippines University
Penningtor,Gunner,10/23/1990,University of Santo Tomas
Pierce,Bailey,07/11/2004,Mapua Insititute of Technology Manila
Reese,Braylin,05/10/1985,University of Santo Tomas
Rhodes,Cecelia,3/25/1992,Lyceum of the Philippines University
Rice,Jolene,09/02/1990,Systems Technology Institute
Riggs,Kayson,02/12/1995,De La Salle University
Sanchez,April,2/15/1999,De La Salle University
Snow,Priscilla,6/16/1989,Systems Technology Institute
Sparks,Leslie,09/06/1998,University of the Philippines
Spencer,Zain,8/25/1986,De La Salle University
Stein,Shelby,3/30/1997,Mapua Insititute of Technology Manila
Terry,Messiah,12/12/2006,De La Salle University
Wiley,Jordan,09/01/2007,University of Santo Tomas
Winters,Darwin,1/14/1988,De La Salle University
